loan_id,sector,state,loan_amount_usd,credit_score,debt_to_income_ratio,default_probability,decision,underwriter_brief
L00380,Agriculture,PA,23106.96,687,0.184,0.46,Review,"RISK SUMMARY: Review at 46.0% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- State cohort (PA) has a weaker repayment pattern in the training data.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00383,Retail,IL,431576.74,604,0.37,0.7892,Decline,"RISK SUMMARY: Decline at 78.9% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Credit score (604) is below the stronger-performing borrower range.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00385,Retail,WA,299612.11,700,0.522,0.5437,Review,"RISK SUMMARY: Review at 54.4% default probability. Sector exposure (Retail) has historically produced higher defaults in this sample.

KEY SIGNALS:
- Sector exposure (Retail) has historically produced higher defaults in this sample.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00387,Technology,WA,131330.83,553,0.578,0.4409,Review,"RISK SUMMARY: Review at 44.1% default probability. Low credit score (553) materially increases default risk.

KEY SIGNALS:
- Low credit score (553) materially increases default risk.
- Debt-to-income ratio (0.58) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00388,Retail,PA,235845.6,735,0.247,0.5554,Review,"RISK SUMMARY: Review at 55.5% default probability. Business operating history (6 years) is limited.

KEY SIGNALS:
- Business operating history (6 years) is limited.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00389,Hospitality,WA,290543.94,625,0.285,0.66,Decline,"RISK SUMMARY: Decline at 66.0% default probability. Credit score (625) is below the stronger-performing borrower range.

KEY SIGNALS:
- Credit score (625) is below the stronger-performing borrower range.
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00391,Hospitality,TX,374015.13,568,0.426,0.8744,Decline,"RISK SUMMARY: Decline at 87.4% default probability. Low credit score (568) materially increases default risk.

KEY SIGNALS:
- Low credit score (568) materially increases default risk.
- Loan term (12 months) is longer than the lower-risk cohort.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00392,Hospitality,WA,399869.36,673,0.338,0.4962,Review,"RISK SUMMARY: Review at 49.6% default probability. Sector exposure (Hospitality) has historically produced higher defaults in this sample.

KEY SIGNALS:
- Sector exposure (Hospitality) has historically produced higher defaults in this sample.
- Requested loan amount ($399,869) is large for this portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00393,Technology,NY,339064.52,529,0.445,0.8455,Decline,"RISK SUMMARY: Decline at 84.5% default probability. Low credit score (529) materially increases default risk.

KEY SIGNALS:
- Low credit score (529) materially increases default risk.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00394,Construction,PA,469670.47,792,0.545,0.5456,Review,"RISK SUMMARY: Review at 54.6% default probability. Business operating history (7 years) is limited.

KEY SIGNALS:
- Business operating history (7 years) is limited.
- Debt-to-income ratio (0.55) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00395,Healthcare,WA,82394.41,673,0.564,0.7113,Decline,"RISK SUMMARY: Decline at 71.1% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Debt-to-income ratio (0.56) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00396,Construction,GA,140798.03,651,0.478,0.4948,Review,"RISK SUMMARY: Review at 49.5% default probability. Business operating history (3 years) is limited.

KEY SIGNALS:
- Business operating history (3 years) is limited.
- Debt-to-income ratio (0.48) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00398,Retail,CA,146108.28,541,0.63,0.8768,Decline,"RISK SUMMARY: Decline at 87.7% default probability. Low credit score (541) materially increases default risk.

KEY SIGNALS:
- Low credit score (541) materially increases default risk.
- Business operating history (5 years) is limited.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00399,Agriculture,GA,304783.87,728,0.593,0.6454,Review,"RISK SUMMARY: Review at 64.5% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Debt-to-income ratio (0.59) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
